,Sno,Address,City,State code,Country,Rentel_price,Deposit
139,139,"Pflugerville, TX", TX,, USA,$ 9000,
140,140,"346 Bird Avenue, Buffalo, NY 14213, USA", Buffalo, NY 14213, USA,$ 3250,
141,141,"Buffalo, NY", NY,, USA,$ 5700,
142,142,"445 Ashland Avenue, Buffalo, NY 14222, USA", Buffalo, NY 14222, USA,$ 2000,
143,143,"Buffalo, NY, US", NY, US, USA,$ 1674,
144,144,"4 Wadsworth Street, Buffalo, NY 14201, USA", Buffalo, NY 14201, USA,$ 1000,
145,145,"56 Trinity Place, Buffalo, NY 14201, USA", Buffalo, NY 14201, USA,$ 950,
146,146,"302 Plymouth Avenue, Buffalo, NY 14213, USA", Buffalo, NY 14213, USA,$ 1600,
147,147,"96 Academy Road, Buffalo, NY 14211, USA", Buffalo, NY 14211, USA,$ 1350,
148,148,"Buffalo, NY", NY,, USA,$ 3600,
149,149,"78 Kirkwood Drive, Buffalo, NY 14224, USA", Buffalo, NY 14224, USA,$ 1550,
150,150,79 Meech Street,,, USA,$ 600,600
151,151,"Buffalo, NY", NY,, USA,$ 4260,
152,152,"Buffalo, NY", NY,, USA,$ 6660,
153,153,"Buffalo, NY", NY,, USA,$ 3240,
154,154,"Buffalo, NY", NY,, USA,$ 3000,
155,155,"Buffalo, NY", NY,, USA,$ 8250,
156,156,126 Lisbon Ave,,, USA,$ 1215,1215
157,157,"4 Wadsworth Street, Buffalo, NY 14201, USA", Buffalo, NY 14201, USA,$ 1700,
158,158,"63 Germain Street, Buffalo, NY 14207, USA", Buffalo, NY 14207, USA,$ 1295,
159,159,"439 University Avenue, Unit Upper Unit", Unit Upper Unit,, USA,$ 1550,1550
160,160,"Buffalo, NY", NY,, USA,$ 2580,
161,161,"90 Erb Street, Buffalo, NY 14215, USA", Buffalo, NY 14215, USA,$ 850,
162,162,"Buffalo, NY", NY,, USA,$ 3480,
163,163,"Buffalo, NY", NY,, USA,$ 3000,
164,164,"1261 Ridge Road, Buffalo, NY 14218, USA", Buffalo, NY 14218, USA,$ 1300,
165,165,"Buffalo, NY", NY,, USA,$ 4050,
166,166,"357 Hudson Street, Unit Upper", Unit Upper,, USA,$ 2050,2050
